PairTag,AssayType,RecDate,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,StrangerID,StrangerGT,PPTlane,PartnerChamber
Nov22_Pair1,introduction,20221114,Nov22_Pair1Intro_WIN_20221114_12_47_25_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11142022,Nov22_Pair1_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8002,Het,,,,,,,20221114,Scn2aX1,,B8002,F,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair15,introduction,20230103,Nov22_Pair15_Intro.mov,\Scn2a_X1Behavior_Nov22\Female Intros\01032023,Nov22_Pair15_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B6614,Het,,,,,,,20230103,Scn2aX1,,B6614,F,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair16,introduction,20230103,Nov22_Pair16_Intro_WIN_20230103_13_46_48_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\01032023,Nov22_Pair16_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B6615,WT,,,,,,,20230103,Scn2aX1,,B6615,F,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair17,introduction,20230104,Nov22_Pair17_Intro_WIN_20230104_12_24_30_Pro.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\01042023,Nov22_Pair17_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6611,Het,,,20230104,Scn2aX1,,B6611,M,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair18,introduction,20230104,Nov22_Pair18_Intro_WIN_20230104_12_25_08_Pro.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\01042023,Nov22_Pair18_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6613,WT,,,20230104,Scn2aX1,,B6613,M,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair19,introduction,20230104,Nov22_Pair19_Intro.mov,\Scn2a_X1Behavior_Nov22\Male Intros\01042023,Nov22_Pair19_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B6616,WT,,,20230104,Scn2aX1,,B6616,M,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair2,introduction,20221114,Nov22_Pair2Intro_WIN_20221114_12_47_37_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11142022,Nov22_Pair2_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8003,WT,,,,,,,20221114,Scn2aX1,,B8003,F,WT,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair21,introduction,20230124,Nov22_Pair21_Intro_2023-01-24 13-25-51.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\01242023,Nov22_Pair21_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8038,Het,,,,,,,20230124,Scn2aX1,,B8038,F,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair22,introduction,20230124,Nov22_Pair22_Intro_2023-01-24 13-25-52.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\01242023,Nov22_Pair22_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8039,Het,,,,,,,20230124,Scn2aX1,,B8039,F,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair23,introduction,20230124,Nov22_Pair23_Intro_2023-01-24 13-25-55.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\01242023,Nov22_Pair23_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8040,Het,,,,,,,20230124,Scn2aX1,,B8040,F,Het,1800,,,,Gina Williams,Josh Steighner,TRUE,"[[245, 201, 39], [147, 120, 23]]",,,,
