PairTag,AssayType,RecDate,RecTime,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,LeftID,LeftGT,LeftSex,LeftDOB,LeftType,RightID,RightGT,RightSex,RightDOB,RightType,StrangerID,PPTlane,PartnerChamber,CameraType,FocalGTConfirmed,Pregnant
Nov22_Pair24,PPT,20230130,13:46,Nov22_Pair24_PPT_2023-01-30 13-46-00.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\01302023,Nov22_Pair24_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8041,Het,,,20230125,Scn2aX1,,B8041,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Partner,,WT,F,,Stranger,,1,Left,,,
Nov22_Pair25,PPT,20230130,13:46,Nov22_Pair25_PPT_2023-01-30 13-46-02.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\01302023,Nov22_Pair25_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8042,Het,,,20230125,Scn2aX1,,B8042,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Stranger,,WT,F,,Partner,,2,Right,,,
Nov22_Pair26,PPT,20230130,13:46,Nov22_Pair26_PPT_2023-01-30 13-45-58.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\01302023,Nov22_Pair26_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8043,Het,,,20230125,Scn2aX1,,B8043,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Stranger,,WT,F,,Partner,,3,Right,,,
Nov22_Pair27,PPT,20230130,13:46,Nov22_Pair27_PPT_2023-01-30 13-45-58.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\01302023,Nov22_Pair27_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8044,Het,,,20230125,Scn2aX1,,B8044,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Partner,,WT,F,,Stranger,,4,Left,,,
Nov22_Pair28,PPT,20230210,13:21,Nov22_Pair28_PPT_2023-02-10 13-20-08.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\02102023,Nov22_Pair28_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8071,Het,,,,,,,20230207,Scn2aX1,,B8071,F,Het,10800,,,,Gina Williams,Gina Williams,True,"[[245, 201, 39], [147, 120, 23]]",,WT,M,,Stranger,,WT,M,,Partner,,1,Right,,,
Nov22_Pair29,PPT,20230210,13:21,Nov22_Pair29_PPT_2023-02-10 13-20-06.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\02102023,Nov22_Pair29_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8072,Het,,,,,,,20230207,Scn2aX1,,B8072,F,Het,10800,,,,Gina Williams,Gina Williams,True,"[[245, 201, 39], [147, 120, 23]]",,WT,M,,Partner,,WT,M,,Stranger,,2,Left,,,
Nov22_Pair3,PPT,20221117,12:26,Nov22_Pair3_PPT_WIN_20221117_12_27_55_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\11172022,Nov22_Pair3_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8004,Het,,,,,,,20221114,Scn2aX1,,B8004,F,Het,10800,,,,Gina Williams,Gina Williams,True,"[[245, 201, 39], [147, 120, 23]]",,WT,M,,Partner,,WT,M,,Stranger,,3,Left,,,
Nov22_Pair30,PPT,20230210,13:21,Nov22_Pair30PPT_2023-02-10 13-20-26.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\02102023,Nov22_Pair30_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8075,Het,,,,,,,20230207,Scn2aX1,,B8075,F,Het,10800,,,,Gina Williams,Gina Williams,True,"[[245, 201, 39], [147, 120, 23]]",,WT,M,,Stranger,,WT,M,,Partner,,3,Right,,,
Nov22_Pair31,PPT,20230210,13:21,Nov22_Pair31_PPT_2023-02-10 13-20-05.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\02102023,Nov22_Pair31_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8077,WT,,,,,,,20230207,Scn2aX1,,B8077,F,WT,10800,,,,Gina Williams,Gina Williams,True,"[[160, 146, 95], [96, 87, 57]]",,WT,M,,Partner,,WT,M,,Stranger,,4,Left,,,
Nov22_Pair32,PPT,20230213,13:35,Nov22_Pair32_PPT_2023-02-13 13-30-48.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\02132023,Nov22_Pair32_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8073,Het,,,20230208,Scn2aX1,,B8073,M,Het,10800,,,,Gina Williams,Gina Williams,True,"[[63, 78, 245], [33, 41, 131]]",,WT,F,,Partner,,WT,F,,Stranger,,1,Left,,,
