,PairTag,AssayType,RecDate,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,StrangerID,StrangerGT,PPTlane,PartnerChamber
25,Nov22_Pair38,introduction,3/1/2023,Nov22_Pair38_Intro_2023-03-01 13-29-51.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03012023,Nov22_Pair38_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8104,WT,,,3/1/2023,Scn2aX1,,B8104,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
26,Nov22_Pair39,introduction,3/15/2023,Nov22_Pair39_Intro_2023-03-15 13-54-04.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03152023,Nov22_Pair39_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8116,WT,,,3/15/2023,Scn2aX1,,B8116,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
27,Nov22_Pair4,introduction,11/14/2022,Nov22_Pair4Intro.mov,\Scn2a_X1Behavior_Nov22\Female Intros\11142022,Nov22_Pair4_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8005,WT,,,,,,,11/14/2022,Scn2aX1,,B8005,F,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
28,Nov22_Pair40,introduction,3/15/2023,Nov22_Pair40_Intro_2023-03-15 13-54-07.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03152023,Nov22_Pair40_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8117,WT,,,3/15/2023,Scn2aX1,,B8117,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
29,Nov22_Pair41,introduction,3/15/2023,Nov22_Pair41_Intro_2023-03-15 13-54-09.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03152023,Nov22_Pair41_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8118,WT,,,3/15/2023,Scn2aX1,,B8118,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
30,Nov22_Pair42,introduction,3/22/2023,Nov22_Pair42_Intro_2023-03-22 12-37-10.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03222023,Nov22_Pair42_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8129,Het,,,3/22/2023,Scn2aX1,,B8129,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
31,Nov22_Pair43,introduction,3/22/2023,Nov22_Pair43_Intro_2023-03-22 12-37-08.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\03222023,Nov22_Pair43_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8130,WT,,,3/22/2023,Scn2aX1,,B8130,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
32,Nov22_Pair44,introduction,4/5/2023,Nov22_Pair44_Intro_2023-04-05 14-10-23.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04052023,Nov22_Pair44_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8144,Het,,,4/5/2023,Scn2aX1,,B8144,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
33,Nov22_Pair46,introduction,4/5/2023,Nov22_Pair46_Intro_2023-04-05 14-10-29.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04052023,Nov22_Pair46_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8150,Het,,,4/5/2023,Scn2aX1,,B8150,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
34,Nov22_Pair47,introduction,4/12/2023,Nov22_Pair47_Intro_2023-04-12 13-45-11.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04122023,Nov22_Pair47_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8159,WT,,,4/12/2023,Scn2aX1,,B8159,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
35,Nov22_Pair48,introduction,4/12/2023,Nov22_pair48_Intro_2023-04-12 13-45-13.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04122023,Nov22_Pair48_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8162,Het,,,4/12/2023,Scn2aX1,,B8162,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
36,Nov22_Pair49,introduction,4/12/2023,Nov22_Pair49_Intro_2023-04-12 13-45-16.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04122023,Nov22_Pair49_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8163,WT,,,4/12/2023,Scn2aX1,,B8163,M,WT,1800,,,,Gina Williams,Josh Steighner,True,,,,,
37,Nov22_Pair5,introduction,11/29/2022,Nov22_Pair5_Intro_WIN_20221129_13_09_22_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female Intros\11292022,Nov22_Pair5_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8033,Het,,,,,,,11/29/2022,Scn2aX1,,B8033,F,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
38,Nov22_Pair50,introduction,4/12/2023,Nov22_Pair50_Intro_WIN_20230412_13_45_26_Pro.mp4,\Scn2a_X1Behavior_Nov22\Male Intros\04122023,Nov22_Pair50_Intro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8164,Het,,,4/12/2023,Scn2aX1,,B8164,M,Het,1800,,,,Gina Williams,Josh Steighner,True,,,,,
