PairTag,AssayType,RecDate,RecTime,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,StrangerID,StrangerGT,PPTlane,PartnerChamber
Nov22_Pair46,reunion,20230412,15:29,Nov22_Pair46_SR_2023-04-12 14-28-14.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\04122023,NK_Male_Nov22_Pair46_SR_2023-04-12 14-28-14.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8150,Het,,,20230405,Scn2aX1,,B8150,M,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair47,reunion,20230419,14:40,Nov22_Pair47_SR_2023-04-19 13-36-52.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\04192023,NK_Male_Nov22_Pair47_SR_2023-04-19 13-36-52.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8159,WT,,,20230412,Scn2aX1,,B8159,M,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair48,reunion,20230419,14:40,Nov22_Pair48_SR_2023-04-19 13-37-39.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\04192023,NK_Male_Nov22_Pair48_SR_2023-04-19 13-37-39.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8162,Het,,,20230412,Scn2aX1,,B8162,M,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair49,reunion,20230419,14:40,Nov22_Pair49_SR_2023-04-19 13-38-25.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\04192023,NK_Male_Nov22_Pair49_SR_2023-04-19 13-38-25.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8163,WT,,,20230412,Scn2aX1,,B8163,M,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair5,reunion,20221205,12:09,Nov22_Pair5_SR_WIN_20221205_11_06_10_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\12052022,NK_Nov22_Pair5_SR_WIN_20221205_11_06_10_Pro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8033,Het,,,,,,,20221129,Scn2aX1,,B8033,F,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair50,reunion,20230419,14:40,Nov22_Pair50_SR_WIN_20230419_13_39_10_Pro.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\04192023,NK_Male_Nov22_Pair50_SR_WIN_20230419_13_39_10_Pro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8164,Het,,,20230412,Scn2aX1,,B8164,M,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair51,reunion,20230426,13:08,Nov22_Pair51_SR_2023-04-26 12-03-25.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\04262023,NK_Male_Nov22_Pair51_SR_2023-04-26 12-03-25.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8168,WT,,,20230419,Scn2aX1,,B8168,M,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair52,reunion,20230426,13:08,Nov22_Pair52_SR_2023-04-26 12-03-27.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\04262023,NK_Male_Nov22_Pair52_SR_2023-04-26 12-03-27.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8170,Het,,,20230419,Scn2aX1,,B8170,M,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[63, 78, 245], [33, 41, 131]]",,,,
Nov22_Pair56,reunion,20230814,12:46,Nov22_Pair56_SR_2023-08-14 11-44-39.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\08142023,NK_Nov22_Pair56_SR_2023-08-14 11-44-39.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8232,WT,,,,,,,20230808,Scn2aX1,,B8232,F,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair57,reunion,20230816,14:44,Nov22_Pair57_SR_2023-08-16 13-42-22.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\08162023,NK_Male_Nov22_Pair57_SR_2023-08-16 13-42-22.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8240,WT,,,20230809,Scn2aX1,,B8240,M,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair58,reunion,20230816,14:44,Nov22_Pair58_SR_2023-08-16 13-43-18.mp4,\Scn2a_X1Behavior_Nov22\Male SepReunion\08162023,NK_Male_Nov22_Pair58_SR_2023-08-16 13-43-18.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8241,WT,,,20230809,Scn2aX1,,B8241,M,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[89, 91, 125], [53, 54, 75]]",,,,
Nov22_Pair59,reunion,20230911,14:45,Nov22_Pair59_SR_2023-09-11 13-43-22.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\09112023,NK_Nov22_Pair59_SR_2023-09-11 13-43-22.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8258,WT,,,,,,,20230905,Scn2aX1,,B8258,F,WT,1800,,,,Gina Williams,Nanditha Krishnan,False,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair6,reunion,20221205,12:09,Nov22_Pair6_SR_WIN_20221205_11_06_41_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\12052022,NK_Nov22_Pair6_SR_WIN_20221205_11_06_41_Pro (imported at 2023-12-11 14_34_13).csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8034,Het,,,,,,,20221129,Scn2aX1,,B8034,F,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair60,reunion,20230911,14:45,Nov22_Pair60_SR_2023-09-11 13-43-24.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\09112023,NK_Nov22_Pair60_SR_2023-09-11 13-43-24.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8260,WT,,,,,,,20230905,Scn2aX1,,B8260,F,WT,1800,,,,Gina Williams,Nanditha Krishnan,False,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair61,reunion,20231113,13:03,Nov22_Pair61_SR_2023-11-13 11-58-58.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\11132023,NK_Nov22_Pair61_SR_2023-11-13 11-58-58.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8267,WT,,,,,,,20231107,Scn2aX1,,B8267,F,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair62,reunion,20231113,13:03,Nov22_Pair62_SR_2023-11-13 11-59-57.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\11132023,NK_Nov22_Pair62_SR_2023-11-13 11-59-57.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8268,WT,,,,,,,20231107,Scn2aX1,,B8268,F,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair64,reunion,20231113,13:03,Nov22_Pair64_SR_WIN_20231113_12_01_53_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\11132023,NK_Nov22_Pair64_SR_WIN_20231113_12_01_53_Pro.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8270,WT,,,,,,,20231107,Scn2aX1,,B8270,F,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[160, 146, 95], [96, 87, 57]]",,,,
Nov22_Pair7,reunion,20221205,12:09,Nov22_Pair7_SR.mov,\Scn2a_X1Behavior_Nov22\Female SepReunion\12052022,NK_Nov22_Pair7_SR.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8018,Het,,,,,,,20221129,Scn2aX1,,B8018,F,Het,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[245, 201, 39], [147, 120, 23]]",,,,
Nov22_Pair8,reunion,20221205,12:09,Nov22_Pair8_SR_WIN_20221205_11_08_01_Pro.mp4,\Scn2a_X1Behavior_Nov22\Female SepReunion\12052022,NK_Nov22_Pair8_SR_WIN_20221205_11_08_01_Pro (imported at 2023-12-11 14_34_14).csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8019,WT,,,,,,,20221129,Scn2aX1,,B8019,F,WT,1800,,,,Gina Williams,Nanditha Krishnan,True,"[[160, 146, 95], [96, 87, 57]]",,,,
