PairTag,AssayType,RecDate,RecSession,RecSlot,RecTime,VideoFile,VideoPath,VideoSide,ScoreFile,ScorePath,AudioFile,AudioPath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AudioAssayStart,VideoAssayStart,AudioSyncPoint1,AudioSyncPoint2,VideoSyncPoint1,VideoSyncPoint2,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,Pups,FocalColor,StrangerID,StrangerGT,PPTlane,PartnerChamber,UseAssay,Notes
ScnVoc11,introduction,20240603.0,1.0,3.0,14:25,2024-06-03_14-25-47.flv,M:\vocalizations\Scn2a\ScnVoc_acquisition,L,,,ScnVoc11_day1.wav,M:\vocalizations\Scn2a\ScnVoc_acquisition,B8421,het,SCN10,20240408.0,B8434,het,N59,20240410.0,20240603.0,ScnVoc,171.51,172.63,169.65,,170.77,,ScnVoc11,O,het,1800.0,Weill652B,intro_only,,"Nerissa Hoglen, Gina Williams",,True,,"[128, 128, 128]",,,,,True,
ScnVoc12,introduction,20240603.0,1.0,3.0,14:25,2024-06-03_14-25-47.flv,M:\vocalizations\Scn2a\ScnVoc_acquisition,R,,,ScnVoc12_day1.wav,M:\vocalizations\Scn2a\ScnVoc_acquisition,B8428,het,SCN7,20240411.0,B8423,het,SCN10,20240408.0,20240603.0,ScnVoc,207.15,208.27,169.65,,170.77,,ScnVoc12,O,het,1800.0,Weill652B,intro_only,,"Nerissa Hoglen, Gina Williams",,True,,"[128, 128, 128]",,,,,True,Female got loose in the soundbox immediately before assay
ScnVoc13,introduction,20240719.0,1.0,1.0,13:58,2024-07-19_13-58-50.flv,M:\vocalizations\Scn2a\ScnVoc_acquisition,L,,,ScnVoc13_day1.wav,M:\vocalizations\Scn2a\ScnVoc_acquisition,B8453,WT,SCN9,20240519.0,B8456,WT,SCN12,20240520.0,20240719.0,ScnVoc,796.07,800.33,9.44,,13.7,,ScnVoc13,O,WT,1800.0,Weill652B,intro_only,,"Nerissa Hoglen, Gina Williams",,True,,"[0, 0, 0]",,,,,True,
ScnVoc14,introduction,20240719.0,1.0,1.0,13:58,2024-07-19_13-58-50.flv,M:\vocalizations\Scn2a\ScnVoc_acquisition,R,,,ScnVoc14_day1.wav,M:\vocalizations\Scn2a\ScnVoc_acquisition,B8464,WT,SCN13,20240521.0,B8458,WT,SCN12,20240520.0,20240719.0,ScnVoc,843.14,847.4,9.44,,13.7,,ScnVoc14,O,WT,1800.0,Weill652B,intro_only,,"Nerissa Hoglen, Gina Williams",,True,,"[0, 0, 0]",,,,,True,
ScnVoc15,introduction,20240916.0,1.0,1.0,13:06,2024-09-16_13-06-00.flv,M:\vocalizations\Scn2a\ScnVoc_acquisition,L,,,ScnVoc15_day1.wav,M:\vocalizations\Scn2a\ScnVoc_acquisition,E9015,WT,SCN9,20240723.0,E9029,WT,SCN13,20240727.0,20240916.0,ScnVoc,535.65,532.87,18.35,,15.57,,ScnVoc15,O,WT,1800.0,Weill652B,intro_only,,"Nerissa Hoglen, Gina Williams",,True,,"[0, 0, 0]",,,,,True,
ScnVoc16,introduction,20240916.0,1.0,1.0,13:06,2024-09-16_13-06-00.flv,M:\vocalizations\Scn2a\ScnVoc_acquisition,R,,,ScnVoc16_day1.wav,M:\vocalizations\Scn2a\ScnVoc_acquisition,E9013,het,SCN9,20240723.0,E9031,WT,SCN13,20240727.0,20240916.0,ScnVoc,596.2099999999999,593.43,18.35,,15.57,,ScnVoc16,O,het,1800.0,Weill652B,intro_only,,"Nerissa Hoglen, Gina Williams",,True,,"[128, 128, 128]",,,,,False,Exclude based on regenotype
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[128, 128, 128]",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[128, 128, 128]",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[128, 128, 128]",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[128, 128, 128]",,,,,,
